Year,Spawner,Return
1968,90958,145853
1969,46964.26415,110919
1970,38796.56604,168239
1971,91886.60377,295083
1972,115486,372639
1973,40880,341734
1974,71540,342896
1975,48884,321500
1976,142058,691693
1977,158410,610171
1978,119165,695679
1979,155527,783821
1980,188314,1082721
1981,262271,1853442
1982,184204,1287592
1983,215730,1008308
1984,238413,766694
1985,512827,369740
1986,283054,674252
1987,256707,887782
1988,204336,665176
1989,164952,512385
1990,147663,501812
1991,233646,946237
1992,188819,815919
1993,151801,521361
1994,218826,765529
1995,202428,530599
1996,264511,751566
1997,263780,682580
1998,259045,792308
1999,312481,1158888
2000,263631,1388432.182
2001,318735,1627668.617
2002,235732,1250022.142
2003,353526,1560304.01
2004,523653,1491096.677
2005,360065,878678.1481
2006,389645,744647.4541
2007,365184,484387.3802
2008,327018,873639.8725
2009,326283,1035629.982
2010,295265,1377594.007
2011,245721,686373.2412
2012,374523,509565.4066
